Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty,Section
What is the chemical symbol for Gold?,Ag,Au,Gd,Go,B,Easy,Science
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,C,Easy,Science
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,Easy,Literature
What is the capital of France?,London,Berlin,Madrid,Paris,D,Easy,Geography
Which language is primarily used for Android app development?,Swift,Python,Java,C#,C,Medium,Technology
What does HTML stand for?,Hyper Text Markup Language,High Tech Multi Level,Hyperlink Text Management Language,Home Tool Markup Language,A,Easy,Technology
In which year was the first iPhone released?,2005,2007,2009,2010,B,Medium,Technology
What is the speed of light in a vacuum?,300000 km/s,150000 km/s,1080 km/h,Sound speed,A,Hard,Physics
Which element has the atomic number 1?,Helium,Oxygen,Hydrogen,Carbon,C,Easy,Science
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C,Easy,Art
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,Easy,Geography
Which programming language is known as the language of the web?,Java,C++,Python,JavaScript,D,Medium,Technology
What does SQL stand for?,Structured Question Language,Structured Query Language,Simple Query Logic,System Query Link,B,Medium,Technology
Who developed the Theory of Relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,B,Hard,Physics
Which country is famous for the Maple Leaf flag?,USA,UK,Canada,Australia,C,Easy,Geography
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Cytoplasm,C,Medium,Biology
Which data structure uses LIFO (Last In First Out)?,Queue,Array,Stack,Tree,C,Medium,Computer Science
What is the main function of a router?,To store data,To direct internet traffic,To protect against viruses,To cool the computer,B,Medium,Technology
Which company owns GitHub?,Google,Apple,Facebook,Microsoft,D,Medium,Technology
What is the standard port for HTTP?,21,22,80,443,C,Medium,Technology
